Disease,Region,Latitude,Longitude,Altitude,Animal_Type,Animal_Ownership,Immunization_Status,Identification_Method,Community_HDA_Identified,Animal_Image
Rabies,Gambella,8.2553001,34.5934037,444.9474076,Dog,No,Not vaccinated,Community gathering,No,
Rabies,Oromia,5.1036437,37.3098131,1353.987665,Donkey/Horse/Mule,Yes,Not vaccinated,Community gathering,Yes,http://api.ona.io/api/v1/files/21949384?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1631007963063.jpg
Rabies,SNNP,7.0537861,35.507458,0.0,Dog,No,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/21857152?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1630509228432.jpg
Rabies,SNNP,7.0537861,35.507458,0.0,Sheep,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/21857150?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1630508688070.jpg
Rabies,SNNP,7.0709443,35.6947791,0.0,Cow,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/21857140?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1630508074125.jpg
Rabies,Somali,9.5559139,41.3841326,1095.615494,Dog,No,Not vaccinated,House to house visit,Yes,
Rabies,Somali,9.5572799,41.3864122,1116.588541,Dog,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Somali,9.544336,41.4520464,1150.25991,Dog,Yes,Rabies vaccinated,House to house visit,Yes,
Rabies,SNNP,6.2534643,35.5248866,0.0,Dog,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/21629923?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1629454674550.jpg
Rabies,Gambella,8.2552578,34.593424,444.9340109,Cow,No,Not vaccinated,Health Facility,No,http://api.ona.io/api/v1/files/21541203?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1628864807707.jpg
Rabies,Gambella,8.2552591,34.5934179,445.3360626,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Somali,9.5616782,41.510234,1116.726326,Dog,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Somali,9.6128342,41.6569727,1092.506953,Dog,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Oromia,3.82473,38.55830833,1307.4,Dog,Yes,Not vaccinated,House to house visit,Yes,
Rabies,Oromia,3.893775,38.56777833,1303.0,Dog,Yes,Not vaccinated,House to house visit,No,
Rabies,Somali,9.6080464,41.3900168,990.6165722,Dog,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/20803957?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1624408011706.jpg
Rabies,SNNP,6.258473,35.5205121,0.0,Dog,Yes,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/20743372?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1623144068038.jpg
Rabies,Oromia,5.0662439,37.3907122,1481.812908,Wild animal,No,Not vaccinated,House to house visit,Yes,http://api.ona.io/api/v1/files/20701400?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1623737663090.jpg
Rabies,Oromia,3.9087359,38.4741008,1351.660645,Dog,No,Not vaccinated,Community gathering,Yes,
Rabies,Oromia,3.5375685,39.0506115,1081.9,Goat,Yes,Not vaccinated,Health Facility,No,http://api.ona.io/api/v1/files/26472781?filename=tenager_tadesse/attachments/466122_CGPP_Ethiopia_Surevillance_form_GHS_CGP/1651049904097.jpg
